,SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
31,32,2020-01-22,Washington,US,1/22/2020 17:00,1.0,0.0,0.0
70,71,2020-01-23,Washington,US,1/23/20 17:00,1.0,0.0,0.0
119,120,2020-01-24,Washington,US,1/24/20 17:00,1.0,0.0,0.0
161,162,2020-01-25,Washington,US,1/25/20 17:00,1.0,0.0,0.0
162,163,2020-01-25,Illinois,US,1/25/20 17:00,1.0,0.0,0.0
206,207,2020-01-26,Washington,US,1/26/20 16:00,1.0,0.0,0.0
207,208,2020-01-26,Illinois,US,1/26/20 16:00,1.0,0.0,0.0
208,209,2020-01-26,California,US,1/26/20 16:00,2.0,0.0,0.0
209,210,2020-01-26,Arizona,US,1/26/20 16:00,1.0,0.0,0.0
254,255,2020-01-27,Washington,US,1/27/20 23:59,1.0,0.0,0.0
255,256,2020-01-27,Illinois,US,1/27/20 23:59,1.0,0.0,0.0
256,257,2020-01-27,California,US,1/27/20 23:59,2.0,0.0,0.0
257,258,2020-01-27,Arizona,US,1/27/20 23:59,1.0,0.0,0.0
306,307,2020-01-28,Washington,US,1/28/20 23:00,1.0,0.0,0.0
307,308,2020-01-28,Illinois,US,1/28/20 23:00,1.0,0.0,0.0
308,309,2020-01-28,California,US,1/28/20 23:00,2.0,0.0,0.0
309,310,2020-01-28,Arizona,US,1/28/20 23:00,1.0,0.0,0.0
359,360,2020-01-29,Washington,US,1/29/20 19:30,1.0,0.0,0.0
360,361,2020-01-29,Illinois,US,1/29/20 19:30,1.0,0.0,0.0
361,362,2020-01-29,California,US,1/29/20 19:30,2.0,0.0,0.0
362,363,2020-01-29,Arizona,US,1/29/20 19:30,1.0,0.0,0.0
415,416,2020-01-30,Washington,US,1/30/20 16:00,1.0,0.0,0.0
416,417,2020-01-30,Illinois,US,1/30/20 16:00,1.0,0.0,0.0
417,418,2020-01-30,California,US,1/30/20 16:00,2.0,0.0,0.0
418,419,2020-01-30,Arizona,US,1/30/20 16:00,1.0,0.0,0.0
484,485,2020-01-31,Illinois,US,1/31/2020 23:59,2.0,0.0,0.0
485,486,2020-01-31,California,US,1/31/2020 23:59,2.0,0.0,0.0
492,493,2020-01-31,Washington,US,1/31/2020 23:59,1.0,0.0,0.0
493,494,2020-01-31,Arizona,US,1/31/2020 23:59,1.0,0.0,0.0
4591,4592,2020-03-10,Washington,US,2020-03-10T22:13:11,267.0,23.0,1.0
4597,4598,2020-03-10,New York,US,2020-03-10T17:13:27,173.0,0.0,0.0
4601,4602,2020-03-10,California,US,2020-03-10T19:13:28,144.0,2.0,2.0
4610,4611,2020-03-10,Massachusetts,US,2020-03-10T22:13:11,92.0,0.0,1.0
4651,4652,2020-03-10,Georgia,US,2020-03-10T03:53:03,17.0,0.0,0.0
4655,4656,2020-03-10,Colorado,US,2020-03-10T18:33:03,15.0,0.0,0.0
4656,4657,2020-03-10,Florida,US,2020-03-10T13:13:14,15.0,2.0,0.0
4657,4658,2020-03-10,New Jersey,US,2020-03-10T18:13:16,15.0,1.0,0.0
4658,4659,2020-03-10,Oregon,US,2020-03-10T19:53:13,15.0,0.0,0.0
4661,4662,2020-03-10,Texas,US,2020-03-10T04:13:13,13.0,0.0,0.0
4663,4664,2020-03-10,Illinois,US,2020-03-10T18:33:03,12.0,0.0,2.0
4664,4665,2020-03-10,Pennsylvania,US,2020-03-10T18:13:16,12.0,0.0,0.0
4674,4675,2020-03-10,Iowa,US,2020-03-10T02:33:04,8.0,0.0,0.0
4675,4676,2020-03-10,Maryland,US,2020-03-10T18:13:16,8.0,0.0,0.0
4682,4683,2020-03-10,North Carolina,US,2020-03-10T02:33:04,7.0,0.0,0.0
4683,4684,2020-03-10,South Carolina,US,2020-03-10T02:33:04,7.0,0.0,0.0
4684,4685,2020-03-10,Tennessee,US,2020-03-10T19:53:13,7.0,0.0,0.0
4685,4686,2020-03-10,Virginia,US,2020-03-10T03:53:03,7.0,0.0,0.0
4688,4689,2020-03-10,Arizona,US,2020-03-10T02:53:04,6.0,0.0,1.0
4689,4690,2020-03-10,Indiana,US,2020-03-10T17:13:25,6.0,0.0,0.0
4690,4691,2020-03-10,Kentucky,US,2020-03-10T02:33:04,6.0,0.0,0.0
4704,4705,2020-03-10,Nevada,US,2020-03-10T02:33:04,4.0,0.0,0.0
4705,4706,2020-03-10,New Hampshire,US,2020-03-10T02:33:04,4.0,0.0,0.0
4711,4712,2020-03-10,Minnesota,US,2020-03-10T19:53:13,3.0,0.0,0.0
4712,4713,2020-03-10,Nebraska,US,2020-03-10T03:13:17,3.0,0.0,0.0
4713,4714,2020-03-10,Ohio,US,2020-03-10T03:13:17,3.0,0.0,0.0
4714,4715,2020-03-10,Rhode Island,US,2020-03-10T03:13:17,3.0,0.0,0.0
4715,4716,2020-03-10,Wisconsin,US,2020-03-10T17:13:25,3.0,0.0,1.0
4723,4724,2020-03-10,Connecticut,US,2020-03-10T03:13:17,2.0,0.0,0.0
4724,4725,2020-03-10,Hawaii,US,2020-03-10T03:13:17,2.0,0.0,0.0
4725,4726,2020-03-10,Oklahoma,US,2020-03-10T17:13:25,2.0,0.0,0.0
4726,4727,2020-03-10,Utah,US,2020-03-10T16:53:13,2.0,0.0,0.0
4748,4749,2020-03-10,Kansas,US,2020-03-10T03:13:17,1.0,0.0,0.0
4749,4750,2020-03-10,Louisiana,US,2020-03-10T03:13:17,1.0,0.0,0.0
4750,4751,2020-03-10,Missouri,US,2020-03-10T03:13:17,1.0,0.0,0.0
4751,4752,2020-03-10,Vermont,US,2020-03-10T03:13:17,1.0,0.0,0.0
4754,4755,2020-03-10,Alaska,US,2020-03-10T02:33:04,0.0,0.0,0.0
4755,4756,2020-03-10,Arkansas,US,2020-03-10T02:33:04,0.0,0.0,0.0
