,date,Average Temperature (deg F),location,fids
17,2020-03-24,33.75,Washington,FIPS:53
18,2020-03-26,34.111111111111114,Washington,FIPS:53
19,2020-03-27,38.266666666666666,Washington,FIPS:53
20,2020-03-28,41.111111111111114,Washington,FIPS:53
21,2020-03-29,40.583333333333336,Washington,FIPS:53
22,2020-03-30,37.25,Washington,FIPS:53
23,2020-03-31,34.214285714285715,Washington,FIPS:53
24,2020-04-01,31.88888888888889,Washington,FIPS:53
25,2020-04-04,33.142857142857146,Washington,FIPS:53
26,2020-04-18,45.444444444444436,Washington,FIPS:53
27,2020-04-19,43.0,Washington,FIPS:53
28,2020-04-22,42.75,Washington,FIPS:53
29,2020-04-23,46.0625,Washington,FIPS:53
30,2020-04-25,47.42857142857143,Washington,FIPS:53
31,2020-04-26,47.17391304347826,Washington,FIPS:53
32,2020-04-27,42.5,Washington,FIPS:53
33,2020-04-30,46.714285714285715,Washington,FIPS:53
34,2020-05-01,44.33333333333334,Washington,FIPS:53
35,2020-05-02,46.8,Washington,FIPS:53
36,2020-05-03,39.90909090909091,Washington,FIPS:53
37,2020-05-04,44.0,Washington,FIPS:53
38,2020-05-06,44.90909090909091,Washington,FIPS:53
39,2020-05-07,52.0,Washington,FIPS:53
40,2020-05-08,58.0,Washington,FIPS:53
41,2020-05-09,62.5,Washington,FIPS:53
42,2020-05-10,64.0,Washington,FIPS:53
43,2020-05-11,58.5,Washington,FIPS:53
44,2020-05-12,50.06666666666667,Washington,FIPS:53
45,2020-05-13,48.631578947368425,Washington,FIPS:53
46,2020-05-14,46.78260869565217,Washington,FIPS:53
47,2020-05-15,50.57894736842106,Washington,FIPS:53
48,2020-05-16,51.33333333333334,Washington,FIPS:53
49,2020-05-17,49.529411764705884,Washington,FIPS:53
50,2020-05-18,50.5,Washington,FIPS:53
51,2020-05-19,56.0,Washington,FIPS:53
52,2020-05-20,57.5,Washington,FIPS:53
53,2020-05-21,45.714285714285715,Washington,FIPS:53
54,2020-05-22,46.058823529411775,Washington,FIPS:53
55,2020-05-23,49.53846153846154,Washington,FIPS:53
56,2020-05-24,56.0,Washington,FIPS:53
57,2020-05-25,52.615384615384606,Washington,FIPS:53
58,2020-05-26,55.94736842105264,Washington,FIPS:53
59,2020-05-27,59.0,Washington,FIPS:53
60,2020-05-28,64.0,Washington,FIPS:53
61,2020-05-29,64.5,Washington,FIPS:53
62,2020-05-30,57.0,Washington,FIPS:53
63,2020-05-31,48.193548387096776,Washington,FIPS:53
64,2020-06-01,52.4,Washington,FIPS:53
65,2020-06-02,54.0,Washington,FIPS:53
66,2020-06-03,54.26315789473684,Washington,FIPS:53
67,2020-06-04,57.0,Washington,FIPS:53
68,2020-06-05,54.5,Washington,FIPS:53
69,2020-06-06,48.0625,Washington,FIPS:53
70,2020-06-07,46.371428571428574,Washington,FIPS:53
71,2020-06-08,48.7,Washington,FIPS:53
72,2020-06-09,47.36363636363637,Washington,FIPS:53
73,2020-06-10,56.27272727272727,Washington,FIPS:53
74,2020-06-11,58.0,Washington,FIPS:53
75,2020-06-12,55.34285714285714,Washington,FIPS:53
76,2020-06-13,47.13888888888889,Washington,FIPS:53
77,2020-06-14,46.55263157894736,Washington,FIPS:53
78,2020-06-15,47.06060606060606,Washington,FIPS:53
79,2020-06-16,48.58823529411765,Washington,FIPS:53
80,2020-06-17,56.15,Washington,FIPS:53
81,2020-06-18,61.0,Washington,FIPS:53
82,2020-06-19,62.0,Washington,FIPS:53
83,2020-06-20,59.73333333333333,Washington,FIPS:53
84,2020-06-21,58.029411764705884,Washington,FIPS:53
85,2020-06-22,65.0,Washington,FIPS:53
86,2020-06-23,67.0,Washington,FIPS:53
87,2020-06-24,63.8,Washington,FIPS:53
88,2020-06-25,63.5,Washington,FIPS:53
89,2020-06-26,65.5,Washington,FIPS:53
90,2020-06-27,55.90909090909091,Washington,FIPS:53
91,2020-06-28,51.22222222222222,Washington,FIPS:53
92,2020-06-29,56.33333333333334,Washington,FIPS:53
93,2020-06-30,61.0,Washington,FIPS:53
132,2020-03-10,54.5,Massachusetts,FIPS:25
133,2020-03-11,48.5,Massachusetts,FIPS:25
134,2020-03-12,39.0,Massachusetts,FIPS:25
135,2020-03-13,45.0,Massachusetts,FIPS:25
136,2020-03-14,43.0,Massachusetts,FIPS:25
137,2020-03-15,39.0,Massachusetts,FIPS:25
138,2020-03-16,30.5,Massachusetts,FIPS:25
139,2020-03-17,35.0,Massachusetts,FIPS:25
140,2020-03-18,42.5,Massachusetts,FIPS:25
141,2020-03-19,39.5,Massachusetts,FIPS:25
142,2020-03-20,47.0,Massachusetts,FIPS:25
143,2020-03-21,46.5,Massachusetts,FIPS:25
144,2020-03-22,30.5,Massachusetts,FIPS:25
145,2020-03-23,31.0,Massachusetts,FIPS:25
146,2020-03-24,38.0,Massachusetts,FIPS:25
147,2020-03-25,37.5,Massachusetts,FIPS:25
148,2020-03-26,39.5,Massachusetts,FIPS:25
149,2020-03-27,50.5,Massachusetts,FIPS:25
150,2020-03-28,45.0,Massachusetts,FIPS:25
151,2020-03-29,41.5,Massachusetts,FIPS:25
152,2020-03-30,38.5,Massachusetts,FIPS:25
153,2020-03-31,36.0,Massachusetts,FIPS:25
154,2020-04-01,36.0,Massachusetts,FIPS:25
155,2020-04-02,41.0,Massachusetts,FIPS:25
156,2020-04-03,42.0,Massachusetts,FIPS:25
157,2020-04-04,42.0,Massachusetts,FIPS:25
158,2020-04-05,44.5,Massachusetts,FIPS:25
159,2020-04-06,49.5,Massachusetts,FIPS:25
160,2020-04-07,50.5,Massachusetts,FIPS:25
161,2020-04-08,46.5,Massachusetts,FIPS:25
162,2020-04-09,43.0,Massachusetts,FIPS:25
163,2020-04-10,40.5,Massachusetts,FIPS:25
164,2020-04-11,41.0,Massachusetts,FIPS:25
165,2020-04-12,45.5,Massachusetts,FIPS:25
166,2020-04-13,54.5,Massachusetts,FIPS:25
